CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3
0,40.0,50.0,0.0,0,960,0,960,0,960
1,52.0,75.0,10.0,630,690,570,630,780,840
2,45.0,70.0,30.0,720,780,630,690,780,840
3,62.0,69.0,10.0,660,720,870,930,720,780
4,60.0,66.0,10.0,480,540,570,630,900,960
5,42.0,65.0,10.0,840,900,510,570,780,840
6,16.0,42.0,20.0,690,750,870,930,750,810
7,58.0,70.0,20.0,780,840,480,540,540,600
8,34.0,60.0,20.0,630,690,570,630,750,810
9,28.0,70.0,10.0,540,600,720,780,480,540
10,35.0,66.0,10.0,510,570,900,960,600,660
11,35.0,69.0,10.0,720,780,570,630,870,930
12,25.0,85.0,20.0,600,660,690,750,840,900
13,22.0,75.0,30.0,870,930,480,540,750,810
14,22.0,85.0,10.0,540,600,750,810,690,750
15,20.0,80.0,40.0,630,690,780,840,900,960
16,20.0,85.0,40.0,900,960,840,900,780,840
17,18.0,75.0,20.0,780,840,660,720,570,630
18,15.0,75.0,20.0,510,570,810,870,600,660
19,15.0,80.0,10.0,870,930,750,810,480,540
20,30.0,50.0,10.0,780,840,510,570,570,630
21,30.0,56.0,20.0,870,930,780,840,720,780
22,28.0,52.0,20.0,480,540,750,810,630,690
23,14.0,66.0,10.0,750,810,810,870,690,750
24,25.0,50.0,10.0,480,540,810,870,570,630
25,22.0,66.0,40.0,780,840,510,570,630,690
26,8.0,62.0,10.0,540,600,840,900,600,660
27,23.0,52.0,10.0,750,810,480,540,840,900
28,4.0,55.0,20.0,540,600,780,840,720,780
29,20.0,50.0,10.0,660,720,870,930,780,840
30,20.0,55.0,10.0,540,600,600,660,660,720
31,10.0,35.0,20.0,600,660,780,840,900,960
32,10.0,40.0,30.0,810,870,900,960,630,690
33,8.0,40.0,40.0,570,630,900,960,810,870
34,8.0,45.0,20.0,600,660,660,720,720,780
35,5.0,35.0,10.0,810,870,720,780,660,720
36,5.0,45.0,10.0,690,750,840,900,480,540
37,2.0,40.0,20.0,750,810,840,900,570,630
38,0.0,40.0,30.0,600,660,690,750,750,810
39,0.0,45.0,20.0,720,780,810,870,510,570
40,36.0,18.0,10.0,810,870,540,600,660,720
41,35.0,32.0,10.0,600,660,840,900,690,750
42,33.0,32.0,20.0,570,630,690,750,870,930
43,33.0,35.0,10.0,480,540,690,750,750,810
44,32.0,20.0,10.0,570,630,690,750,750,810
45,30.0,30.0,10.0,840,900,780,840,630,690
46,34.0,25.0,30.0,780,840,660,720,870,930
47,30.0,35.0,10.0,900,960,630,690,720,780
48,36.0,40.0,10.0,810,870,870,930,660,720
49,48.0,20.0,10.0,750,810,570,630,510,570
50,26.0,32.0,10.0,570,630,480,540,840,900
51,25.0,30.0,10.0,870,930,690,750,630,690
52,25.0,35.0,10.0,540,600,660,720,600,660
53,44.0,5.0,20.0,780,840,540,600,630,690
54,42.0,10.0,40.0,750,810,810,870,540,600
55,42.0,15.0,10.0,870,930,570,630,510,570
56,40.0,5.0,30.0,750,810,600,660,540,600
57,38.0,15.0,40.0,870,930,810,870,630,690
58,38.0,5.0,30.0,720,780,840,900,660,720
59,38.0,10.0,10.0,780,840,570,630,840,900
60,35.0,5.0,20.0,660,720,750,810,840,900
61,50.0,30.0,10.0,810,870,870,930,750,810
62,50.0,35.0,20.0,840,900,630,690,780,840
63,50.0,40.0,50.0,510,570,780,840,840,900
64,48.0,30.0,10.0,840,900,690,750,570,630
65,44.0,25.0,10.0,780,840,570,630,690,750
66,47.0,35.0,10.0,870,930,630,690,780,840
67,47.0,40.0,10.0,720,780,780,840,870,930
68,42.0,30.0,10.0,630,690,480,540,540,600
69,45.0,35.0,10.0,480,540,540,600,690,750
70,95.0,30.0,30.0,600,660,750,810,480,540
71,95.0,35.0,20.0,870,930,810,870,600,660
72,53.0,30.0,10.0,570,630,900,960,750,810
73,92.0,30.0,10.0,840,900,690,750,540,600
74,53.0,35.0,50.0,720,780,510,570,870,930
75,45.0,65.0,20.0,630,690,480,540,840,900
76,90.0,35.0,10.0,540,600,720,780,600,660
77,72.0,45.0,10.0,720,780,600,660,780,840
78,78.0,40.0,20.0,510,570,900,960,630,690
79,87.0,30.0,10.0,840,900,630,690,690,750
80,85.0,25.0,10.0,780,840,900,960,480,540
81,85.0,35.0,30.0,510,570,630,690,570,630
82,75.0,55.0,20.0,600,660,870,930,780,840
83,72.0,55.0,10.0,780,840,630,690,900,960
84,70.0,58.0,20.0,750,810,480,540,540,600
85,86.0,46.0,30.0,780,840,840,900,540,600
86,66.0,55.0,10.0,510,570,840,900,720,780
87,64.0,46.0,20.0,660,720,570,630,870,930
88,65.0,60.0,30.0,720,780,570,630,510,570
89,56.0,64.0,10.0,540,600,600,660,660,720
90,60.0,55.0,10.0,810,870,630,690,750,810
91,60.0,60.0,10.0,750,810,690,750,870,930
92,67.0,85.0,20.0,810,870,870,930,660,720
93,42.0,58.0,40.0,660,720,540,600,480,540
94,65.0,82.0,10.0,780,840,660,720,570,630
95,62.0,80.0,30.0,540,600,630,690,870,930
96,62.0,40.0,10.0,900,960,630,690,510,570
97,60.0,85.0,30.0,750,810,570,630,660,720
98,58.0,75.0,20.0,840,900,780,840,690,750
99,55.0,80.0,10.0,480,540,870,930,540,600
100,55.0,85.0,20.0,630,690,900,960,720,780
