CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3
0,35.0,35.0,0.0,0,960,0,960,0,960
1,41.0,49.0,10.0,660,720,480,540,600,660
2,35.0,17.0,7.0,480,540,570,630,690,750
3,55.0,45.0,13.0,690,750,600,660,870,930
4,55.0,20.0,19.0,660,720,750,810,540,600
5,15.0,30.0,26.0,660,720,900,960,600,660
6,25.0,30.0,3.0,630,690,900,960,840,900
7,20.0,50.0,5.0,780,840,480,540,570,630
8,10.0,43.0,9.0,510,570,720,780,780,840
9,55.0,60.0,16.0,780,840,480,540,690,750
10,30.0,60.0,16.0,780,840,720,780,510,570
11,20.0,65.0,12.0,570,630,480,540,780,840
12,50.0,35.0,19.0,750,810,810,870,690,750
13,30.0,25.0,23.0,780,840,510,570,840,900
14,15.0,10.0,20.0,480,540,900,960,540,600
15,30.0,5.0,8.0,840,900,690,750,480,540
16,10.0,20.0,19.0,870,930,600,660,480,540
17,5.0,30.0,2.0,720,780,900,960,810,870
18,20.0,40.0,12.0,630,690,780,840,480,540
19,15.0,60.0,17.0,780,840,540,600,630,690
20,45.0,65.0,9.0,630,690,840,900,510,570
21,45.0,20.0,11.0,570,630,750,810,810,870
22,45.0,10.0,18.0,810,870,630,690,540,600
23,55.0,5.0,29.0,780,840,510,570,870,930
24,65.0,35.0,3.0,570,630,900,960,780,840
25,65.0,20.0,6.0,810,870,690,750,630,690
26,45.0,30.0,17.0,810,870,900,960,750,810
27,35.0,40.0,16.0,540,600,780,840,900,960
28,41.0,37.0,16.0,750,810,480,540,630,690
29,64.0,42.0,9.0,810,870,540,600,660,720
30,40.0,60.0,21.0,660,720,840,900,780,840
31,31.0,52.0,27.0,810,870,570,630,750,810
32,35.0,69.0,23.0,840,900,570,630,720,780
33,53.0,52.0,11.0,690,750,900,960,540,600
34,65.0,55.0,14.0,720,780,570,630,480,540
35,63.0,65.0,8.0,660,720,870,930,780,840
36,2.0,60.0,5.0,540,600,690,750,870,930
37,20.0,20.0,8.0,690,750,600,660,510,570
38,5.0,5.0,16.0,690,750,630,690,750,810
39,60.0,12.0,31.0,570,630,690,750,780,840
40,40.0,25.0,9.0,690,750,540,600,630,690
41,42.0,7.0,5.0,900,960,510,570,810,870
42,24.0,12.0,5.0,810,870,690,750,900,960
43,23.0,3.0,7.0,660,720,540,600,840,900
44,11.0,14.0,18.0,840,900,660,720,480,540
45,6.0,38.0,16.0,480,540,750,810,660,720
46,2.0,48.0,1.0,780,840,660,720,510,570
47,8.0,56.0,27.0,780,840,570,630,840,900
48,13.0,52.0,36.0,810,870,600,660,900,960
49,6.0,68.0,30.0,750,810,510,570,690,750
50,47.0,47.0,13.0,690,750,630,690,480,540
51,49.0,58.0,10.0,780,840,690,750,900,960
52,27.0,43.0,9.0,510,570,570,630,720,780
53,37.0,31.0,14.0,660,720,510,570,570,630
54,57.0,29.0,18.0,660,720,810,870,720,780
55,63.0,23.0,2.0,600,660,750,810,480,540
56,53.0,12.0,6.0,870,930,630,690,780,840
57,32.0,12.0,7.0,840,900,570,630,480,540
58,36.0,26.0,18.0,630,690,900,960,840,900
59,21.0,24.0,28.0,510,570,780,840,900,960
60,17.0,34.0,3.0,750,810,600,660,810,870
61,12.0,24.0,13.0,900,960,510,570,600,660
62,24.0,58.0,19.0,660,720,780,840,480,540
63,27.0,69.0,10.0,630,690,690,750,480,540
64,15.0,77.0,9.0,630,690,510,570,780,840
65,62.0,77.0,20.0,660,720,810,870,720,780
66,49.0,73.0,25.0,600,660,540,600,750,810
67,67.0,5.0,25.0,510,570,750,810,810,870
68,56.0,39.0,36.0,510,570,870,930,600,660
69,37.0,47.0,6.0,600,660,780,840,690,750
70,37.0,56.0,5.0,540,600,660,720,870,930
71,57.0,68.0,15.0,480,540,750,810,810,870
72,47.0,16.0,25.0,900,960,780,840,480,540
73,44.0,17.0,9.0,600,660,900,960,510,570
74,46.0,13.0,8.0,510,570,660,720,720,780
75,49.0,11.0,18.0,720,780,570,630,510,570
76,49.0,42.0,13.0,870,930,780,840,480,540
77,53.0,43.0,14.0,630,690,720,780,480,540
78,61.0,52.0,3.0,870,930,510,570,600,660
79,57.0,48.0,23.0,900,960,660,720,750,810
80,56.0,37.0,6.0,630,690,840,900,570,630
81,55.0,54.0,26.0,480,540,900,960,570,630
82,15.0,47.0,16.0,720,780,480,540,840,900
83,14.0,37.0,11.0,840,900,720,780,570,630
84,11.0,31.0,7.0,630,690,750,810,540,600
85,16.0,22.0,41.0,840,900,900,960,750,810
86,4.0,18.0,35.0,540,600,870,930,690,750
87,28.0,18.0,26.0,480,540,870,930,630,690
88,26.0,52.0,9.0,780,840,510,570,600,660
89,26.0,35.0,15.0,480,540,720,780,900,960
90,31.0,67.0,3.0,630,690,510,570,870,930
91,15.0,19.0,1.0,570,630,480,540,810,870
92,22.0,22.0,2.0,540,600,600,660,780,840
93,18.0,24.0,22.0,780,840,480,540,540,600
94,26.0,27.0,27.0,750,810,870,930,510,570
95,25.0,24.0,20.0,840,900,690,750,600,660
96,22.0,27.0,11.0,720,780,600,660,780,840
97,25.0,21.0,12.0,570,630,660,720,870,930
98,19.0,21.0,10.0,480,540,570,630,630,690
99,20.0,26.0,9.0,600,660,750,810,900,960
100,18.0,18.0,17.0,900,960,780,840,690,750
