CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME_1,DUE_TIME_1,READY_TIME_2,DUE_TIME_2,READY_TIME_3,DUE_TIME_3
0,40.0,50.0,0.0,0,960,0,960,0,960
1,25.0,85.0,20.0,720,780,870,930,630,690
2,22.0,75.0,30.0,750,810,690,750,840,900
3,22.0,85.0,10.0,630,690,480,540,870,930
4,20.0,80.0,40.0,720,780,840,900,480,540
5,20.0,85.0,20.0,480,540,810,870,570,630
6,18.0,75.0,20.0,840,900,780,840,630,690
7,15.0,75.0,20.0,510,570,720,780,870,930
8,15.0,80.0,10.0,810,870,720,780,630,690
9,10.0,35.0,20.0,840,900,780,840,900,960
10,10.0,40.0,30.0,540,600,750,810,810,870
11,8.0,40.0,40.0,660,720,480,540,540,600
12,8.0,45.0,20.0,870,930,660,720,720,780
13,5.0,35.0,10.0,630,690,690,750,900,960
14,5.0,45.0,10.0,720,780,540,600,900,960
15,2.0,40.0,20.0,480,540,540,600,780,840
16,0.0,40.0,20.0,510,570,870,930,780,840
17,0.0,45.0,20.0,660,720,510,570,900,960
18,44.0,5.0,20.0,900,960,720,780,840,900
19,42.0,10.0,40.0,630,690,750,810,870,930
20,42.0,15.0,10.0,570,630,660,720,750,810
21,40.0,5.0,10.0,480,540,660,720,870,930
22,40.0,15.0,40.0,720,780,900,960,600,660
23,38.0,5.0,30.0,480,540,840,900,600,660
24,38.0,15.0,10.0,900,960,630,690,690,750
25,35.0,5.0,20.0,720,780,660,720,510,570
26,95.0,30.0,30.0,900,960,510,570,690,750
27,95.0,35.0,20.0,540,600,840,900,480,540
28,92.0,30.0,10.0,570,630,780,840,630,690
29,90.0,35.0,10.0,480,540,870,930,570,630
30,88.0,30.0,10.0,780,840,690,750,480,540
31,88.0,35.0,20.0,870,930,750,810,690,750
32,87.0,30.0,10.0,720,780,840,900,600,660
33,85.0,25.0,10.0,540,600,900,960,780,840
34,85.0,35.0,30.0,810,870,900,960,750,810
35,67.0,85.0,20.0,750,810,870,930,690,750
36,65.0,85.0,40.0,870,930,570,630,510,570
37,65.0,82.0,10.0,600,660,840,900,780,840
38,62.0,80.0,30.0,900,960,570,630,480,540
39,60.0,80.0,10.0,600,660,660,720,870,930
40,60.0,85.0,30.0,570,630,750,810,630,690
41,58.0,75.0,20.0,870,930,540,600,780,840
42,55.0,80.0,10.0,660,720,540,600,750,810
43,55.0,85.0,20.0,600,660,780,840,870,930
44,55.0,82.0,10.0,570,630,840,900,750,810
45,20.0,82.0,10.0,690,750,750,810,510,570
46,18.0,80.0,10.0,510,570,690,750,630,690
47,2.0,45.0,10.0,630,690,690,750,870,930
48,42.0,5.0,10.0,660,720,750,810,900,960
49,42.0,12.0,10.0,720,780,600,660,510,570
50,72.0,35.0,30.0,720,780,570,630,480,540
51,55.0,20.0,19.0,540,600,720,780,840,900
52,25.0,30.0,3.0,570,630,720,780,870,930
53,20.0,50.0,5.0,870,930,630,690,720,780
54,55.0,60.0,16.0,870,930,480,540,750,810
55,30.0,60.0,16.0,810,870,510,570,630,690
56,50.0,35.0,19.0,810,870,570,630,750,810
57,30.0,25.0,23.0,690,750,570,630,810,870
58,15.0,10.0,20.0,510,570,690,750,600,660
59,10.0,20.0,19.0,630,690,720,780,510,570
60,15.0,60.0,17.0,810,870,540,600,660,720
61,45.0,65.0,9.0,690,750,600,660,750,810
62,65.0,35.0,3.0,570,630,870,930,690,750
63,65.0,20.0,6.0,660,720,840,900,510,570
64,45.0,30.0,17.0,870,930,810,870,720,780
65,35.0,40.0,16.0,690,750,810,870,900,960
66,41.0,37.0,16.0,810,870,750,810,870,930
67,64.0,42.0,9.0,900,960,480,540,570,630
68,40.0,60.0,21.0,810,870,900,960,720,780
69,31.0,52.0,27.0,570,630,630,690,870,930
70,35.0,69.0,23.0,480,540,690,750,540,600
71,65.0,55.0,14.0,750,810,690,750,630,690
72,63.0,65.0,8.0,660,720,810,870,870,930
73,2.0,60.0,5.0,900,960,600,660,690,750
74,20.0,20.0,8.0,780,840,900,960,660,720
75,5.0,5.0,16.0,540,600,630,690,750,810
76,60.0,12.0,31.0,480,540,780,840,660,720
77,23.0,3.0,7.0,660,720,750,810,900,960
78,8.0,56.0,27.0,870,930,720,780,630,690
79,6.0,68.0,30.0,870,930,810,870,570,630
80,47.0,47.0,13.0,720,780,900,960,540,600
81,49.0,58.0,10.0,480,540,600,660,690,750
82,27.0,43.0,9.0,480,540,810,870,630,690
83,37.0,31.0,14.0,660,720,840,900,900,960
84,57.0,29.0,18.0,540,600,600,660,840,900
85,63.0,23.0,2.0,870,930,600,660,810,870
86,21.0,24.0,28.0,600,660,840,900,750,810
87,12.0,24.0,13.0,570,630,900,960,660,720
88,24.0,58.0,19.0,690,750,510,570,750,810
89,67.0,5.0,25.0,480,540,840,900,660,720
90,37.0,47.0,6.0,660,720,780,840,840,900
91,49.0,42.0,13.0,480,540,870,930,540,600
92,53.0,43.0,14.0,690,750,810,870,600,660
93,61.0,52.0,3.0,780,840,690,750,900,960
94,57.0,48.0,23.0,540,600,810,870,750,810
95,56.0,37.0,6.0,840,900,480,540,720,780
96,55.0,54.0,26.0,900,960,660,720,750,810
97,4.0,18.0,35.0,630,690,510,570,750,810
98,26.0,52.0,9.0,810,870,660,720,510,570
99,26.0,35.0,15.0,840,900,480,540,750,810
100,31.0,67.0,3.0,750,810,660,720,870,930
