iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,39,295.133693,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,13.5944
20,39,217.759741,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,13.8388
30,39,160.670591,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,14.0073
40,39,118.548262,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,14.2134
50,39,87.468966,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,14.4475
60,39,64.537597,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,14.635
70,39,47.618048,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,14.8674
80,39,35.134226,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,15.0968
90,39,25.923235,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,15.2545
100,39,19.12705,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,15.548
110,39,14.112592,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,15.7843
120,39,10.412754,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,16.0161
130,39,7.682886,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,16.1843
140,39,5.668696,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,16.5467
150,39,4.182558,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,16.722
160,39,3.086035,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,16.8999
170,39,2.276982,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,17.1026
180,39,1.680035,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,17.4245
190,39,1.239588,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,17.7502
200,39,0.91461,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,17.9473
210,39,0.674831,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,18.2737
220,39,0.497913,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,18.5246
230,39,0.367377,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,18.8673
240,39,0.271064,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,19.0326
250,39,0.2,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,19.2823
260,39,0.147567,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,19.7091
270,39,0.10888,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,19.9325
280,39,0.080335,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,20.1661
290,39,0.059274,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,20.5173
300,39,0.043734,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,20.8214
310,39,0.032269,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,21.2495
320,39,0.023809,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,21.3969
330,39,0.017567,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,21.6677
340,39,0.012962,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,22.0796
350,39,0.009564,6418.6581,39,6418.6581,6418.6581,2802.5026,39,1,22.1813
360,39,0.007056,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,22.4826
370,39,0.005206,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,22.6791
380,39,0.003841,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,22.9108
390,39,0.002834,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,23.0922
400,39,0.002091,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,23.2734
410,39,0.001543,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,23.5353
420,39,0.001138,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,23.876
430,39,0.00084,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,24.3574
440,39,0.00062,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,24.5265
450,39,0.000457,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,24.7734
460,39,0.000337,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,25.0617
470,39,0.000249,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,25.4261
480,39,0.000184,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,25.6653
490,39,0.000136,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,26.0177
500,39,0.0001,6012.5707,36,6012.5707,6012.5707,2696.4668,36,2,26.2643
10,38,295.133693,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,26.5418
20,38,217.759741,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,26.7995
30,38,160.670591,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,27.1555
40,38,118.548262,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,27.4127
50,38,87.468966,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,27.638
60,38,64.537597,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,27.8803
70,38,47.618048,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,28.1643
80,38,35.134226,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,28.3921
90,38,25.923235,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,28.7391
100,38,19.12705,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,29.1547
110,38,14.112592,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,29.2262
120,38,10.412754,6012.5707,36,6012.5707,6012.5707,2696.4668,36,1,29.5464
