iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
1,37,106.92346,8328.215,37,8328.215,8328.215,4738.9075,37,1,0.1499
2,37,22.865253,8328.215,37,8328.215,8328.215,4738.9075,37,1,0.1503
3,37,4.889664,6514.4208,28,6514.4208,6514.4208,3860.8067,28,1,0.181
4,37,1.04564,5880.2661,24,5880.2661,5880.2661,3626.1787,24,1,0.212
5,37,0.223607,5880.2661,24,5880.2661,5880.2661,3626.1787,24,1,0.2124
6,37,0.047818,5811.9513,24,5811.9513,5811.9513,3530.9464,24,1,0.2434
7,37,0.010226,5594.6267,23,5594.6267,5594.6267,3426.9121,23,1,0.2474
8,37,0.002187,5585.3699,23,5585.3699,5585.3699,3426.9121,23,2,0.2787
9,37,0.000468,5585.3699,23,5585.3699,5585.3699,3426.9121,23,2,0.279
10,37,0.0001,5585.3699,23,5585.3699,5585.3699,3426.9121,23,2,0.2794
1,36,106.92346,5585.2108,23,5585.2108,5585.2108,3427.8922,23,1,0.3109
2,36,22.865253,5580.9136,23,5580.9136,5580.9136,3424.061,23,1,0.3418
3,36,4.889664,5404.6262,22,5404.6262,5404.6262,3342.7755,22,1,0.3732
4,36,1.04564,5404.6262,22,5404.6262,5404.6262,3342.7755,22,1,0.3735
5,36,0.223607,5404.6262,22,5404.6262,5404.6262,3342.7755,22,1,0.3737
6,36,0.047818,5404.6262,22,5404.6262,5404.6262,3342.7755,22,1,0.3741
7,36,0.010226,5404.6262,22,5404.6262,5404.6262,3342.7755,22,1,0.3743
8,36,0.002187,5404.6262,22,5404.6262,5404.6262,3342.7755,22,2,0.4058
9,36,0.000468,5398.1403,22,5398.1403,5398.1403,3337.0072,22,1,0.4387
10,36,0.0001,5398.1403,22,5398.1403,5398.1403,3337.0072,22,1,0.443
1,35,106.92346,5393.4368,22,5393.4368,5393.4368,3317.2173,22,1,0.4753
2,35,22.865253,5393.4368,22,5393.4368,5393.4368,3317.2173,22,1,0.4755
3,35,4.889664,5393.4368,22,5393.4368,5393.4368,3317.2173,22,1,0.4758
4,35,1.04564,5216.3501,21,5216.3501,5216.3501,3250.135,21,1,0.5085
5,35,0.223607,5216.3501,21,5216.3501,5216.3501,3250.135,21,1,0.5089
6,35,0.047818,5214.7613,21,5214.7613,5214.7613,3250.135,21,2,0.5134
7,35,0.010226,5132.6938,21,5132.6938,5132.6938,3161.2232,21,1,0.5477
8,35,0.002187,5132.6938,21,5132.6938,5132.6938,3161.2232,21,2,0.5805
9,35,0.000468,5125.7973,21,5125.7973,5125.7973,3155.0994,21,1,0.613
10,35,0.0001,5125.7973,21,5125.7973,5125.7973,3155.0994,21,1,0.6134
1,34,106.92346,5117.6814,21,5117.6814,5117.6814,3147.8786,21,1,0.6176
2,34,22.865253,5117.6814,21,5117.6814,5117.6814,3147.8786,21,2,0.6217
3,34,4.889664,5122.7278,21,5117.6814,5117.6814,3147.8786,21,2,0.6259
4,34,1.04564,4987.891,19,4987.891,4987.891,3147.8786,19,3,0.6299
5,34,0.223607,4987.891,19,4987.891,4987.891,3147.8786,19,3,0.6341
6,34,0.047818,4987.891,19,4987.891,4987.891,3147.8786,19,3,0.6382
7,34,0.010226,4987.891,19,4987.891,4987.891,3147.8786,19,3,0.6384
8,34,0.002187,4964.0422,19,4964.0422,4964.0422,3147.8786,19,3,0.6712
9,34,0.000468,4904.6657,18,4904.6657,4904.6657,3147.8786,18,4,0.7026
10,34,0.0001,4903.6944,18,4903.6944,4903.6944,3147.8786,18,4,0.734
1,33,106.92346,4903.6944,18,4903.6944,4903.6944,3291.005,18,1,0.7343
2,33,22.865253,4903.6944,18,4903.6944,4903.6944,3291.005,18,1,0.7345
3,33,4.889664,4903.6944,18,4903.6944,4903.6944,3291.005,18,1,0.7386
4,33,1.04564,4897.7401,18,4897.7401,4897.7401,3285.7088,18,1,0.7702
5,33,0.223607,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8013
6,33,0.047818,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8016
7,33,0.010226,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8056
8,33,0.002187,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8097
9,33,0.000468,4897.7401,18,4897.7401,4897.7401,3285.7088,18,3,0.8415
10,33,0.0001,4897.7401,18,4897.7401,4897.7401,3285.7088,18,4,0.8455
1,32,106.92346,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8769
2,32,22.865253,4897.7401,18,4897.7401,4897.7401,3285.7088,18,2,0.8773
