iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,50,367.274355,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,25.7339
20,50,269.780903,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,26.5654
30,50,198.167214,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,27.1736
40,50,145.563471,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,27.9371
50,50,106.92346,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,28.6117
60,50,78.54049,8093.6402,50,8093.6402,8093.1987,3405.0504,50,2,29.2363
70,50,57.691815,8093.6402,50,8093.6402,8093.1987,3405.0504,50,2,29.6683
80,50,42.377448,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,30.3832
90,50,31.1283,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,30.8496
100,50,22.865253,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,31.4124
110,50,16.795642,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,31.8022
120,50,12.337217,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,32.2514
130,50,9.062287,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,32.8387
140,50,6.656691,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,33.1564
150,50,4.889664,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,33.3305
160,50,3.591696,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,33.7902
170,50,2.638276,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,34.4111
180,50,1.937942,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,34.6399
190,50,1.423513,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,34.9469
200,50,1.04564,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,35.6357
210,50,0.768073,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,36.7397
220,50,0.564187,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,37.4083
230,50,0.414423,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,37.8497
240,50,0.304414,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,38.4115
250,50,0.223607,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,39.0271
260,50,0.16425,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,39.4936
270,50,0.12065,8093.6402,50,8093.6402,7932.6659,3339.649,49,1,40.0715
280,50,0.088623,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,40.3024
290,50,0.065098,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,40.7298
300,50,0.047818,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,41.4095
310,50,0.035124,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,41.9865
320,50,0.025801,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,42.554
330,50,0.018952,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,42.9251
340,50,0.013921,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,43.6388
350,50,0.010226,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,44.2843
360,50,0.007511,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,44.7583
370,50,0.005517,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,45.3685
380,50,0.004053,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,46.1681
390,50,0.002977,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,46.6537
400,50,0.002187,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,46.9672
410,50,0.001606,8093.6402,50,8093.6402,7782.0887,3292.0395,48,1,47.9718
420,50,0.00118,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,48.527
430,50,0.000867,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,49.2528
440,50,0.000637,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,49.7027
450,50,0.000468,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,50.1343
460,50,0.000343,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,50.4818
470,50,0.000252,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,50.9609
480,50,0.000185,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,51.7272
490,50,0.000136,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,52.6127
500,50,0.0001,8093.7267,50,8093.6402,7782.0887,3292.0395,48,1,53.3636
10,49,367.274355,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,53.8327
20,49,269.780903,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,54.5584
30,49,198.167214,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,55.2695
40,49,145.563471,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,55.904
50,49,106.92346,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,56.1668
60,49,78.54049,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,56.8098
70,49,57.691815,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,57.1849
80,49,42.377448,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,57.9133
90,49,31.1283,8093.6402,50,8093.6402,8093.6402,3408.376,50,1,58.2397
100,49,22.865253,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,58.6058
110,49,16.795642,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,58.9705
120,49,12.337217,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,59.1978
130,49,9.062287,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,59.8059
140,49,6.656691,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,60.3206
150,49,4.889664,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,60.6626
160,49,3.591696,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,61.1583
170,49,2.638276,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,61.6442
180,49,1.937942,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,62.1403
190,49,1.423513,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,62.3635
200,49,1.04564,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,63.0322
210,49,0.768073,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,63.4048
220,49,0.564187,7900.4959,49,7900.4959,7900.4959,3324.9597,49,1,64.0318
230,49,0.414423,7900.4959,49,7900.4959,7899.9523,3316.3864,49,1,64.6324
240,49,0.304414,7900.4959,49,7900.4959,7899.9523,3316.3864,49,1,65.1316
250,49,0.223607,7900.4959,49,7900.4959,7899.9523,3316.3864,49,1,65.5774
260,49,0.16425,7900.4959,49,7900.4959,7899.9523,3316.3864,49,1,66.059
270,49,0.12065,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,66.7557
280,49,0.088623,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,66.9947
290,49,0.065098,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,67.505
300,49,0.047818,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,67.9863
310,49,0.035124,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,68.7045
320,49,0.025801,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,69.3172
330,49,0.018952,7900.4959,49,7900.4959,7739.5217,3256.2328,48,1,69.8048
340,49,0.013921,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,70.3939
350,49,0.010226,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,70.7067
360,49,0.007511,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,71.1428
370,49,0.005517,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,71.6346
380,49,0.004053,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,71.9734
390,49,0.002977,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,72.3011
400,49,0.002187,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,72.7969
410,49,0.001606,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,73.5374
420,49,0.00118,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,74.0382
430,49,0.000867,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,74.2763
440,49,0.000637,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,74.9945
450,49,0.000468,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,75.4002
460,49,0.000343,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,75.7979
470,49,0.000252,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,76.3129
480,49,0.000185,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,76.3922
490,49,0.000136,7900.4959,49,7900.4959,7448.4512,3156.5502,46,1,77.1708
