iteration,nv_limit,temperature,current_TC,current_NV,best_TC,pareto_TC,pareto_TT,pareto_NV,pareto_size,elapsed_s
10,27,222.62751,5106.6586,27,5106.6586,5106.6586,2567.1059,27,1,5.9017
20,27,165.210028,5106.6586,27,5106.6586,5106.6586,2567.1059,27,1,6.0277
30,27,122.600991,5106.6586,27,5106.6586,4788.9462,2431.5386,25,1,6.1167
40,27,90.981178,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.2327
50,27,67.516377,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.3178
60,27,50.103343,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.3872
70,27,37.181275,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.5009
80,27,27.591916,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.5579
90,27,20.475732,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.6482
100,27,15.194871,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.7301
110,27,11.275987,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.7957
120,27,8.367817,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,6.9103
130,27,6.209687,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,7.0336
140,27,4.608157,4374.5547,23,4374.5547,4189.0064,2103.2787,22,1,7.1911
150,27,3.419675,4370.3731,23,4370.3731,4189.0064,2103.2787,22,1,7.2552
160,27,2.537713,4370.3731,23,4370.3731,4189.0064,2103.2787,22,1,7.3956
170,27,1.883216,4370.3731,23,4370.3731,4189.0064,2103.2787,22,1,7.5025
180,27,1.397519,4370.3731,23,4370.3731,4189.0064,2103.2787,22,1,7.5739
190,27,1.037087,4217.4988,22,4217.4988,4189.0064,2103.2787,22,1,7.6844
200,27,0.769614,4217.4988,22,4217.4988,4189.0064,2103.2787,22,1,7.7848
210,27,0.571124,4211.0152,22,4211.0152,4189.0064,2103.2787,22,1,7.8679
220,27,0.423826,4211.0152,22,4211.0152,4189.0064,2103.2787,22,1,7.9554
230,27,0.314518,4189.7192,22,4189.7192,4189.0064,2103.2787,22,1,8.0617
240,27,0.233401,4189.7192,22,4189.7192,4189.0064,2103.2787,22,1,8.1666
250,27,0.173205,4189.7192,22,4189.7192,4189.0064,2103.2787,22,1,8.2453
260,27,0.128534,4010.9078,21,4010.9078,4010.9078,2047.5493,21,2,8.3342
270,27,0.095384,4010.9078,21,4010.9078,4010.9078,2047.5493,21,2,8.4099
280,27,0.070784,4010.9078,21,4010.9078,4010.9078,2047.5493,21,2,8.4942
290,27,0.052528,4010.9078,21,4010.9078,4010.9078,2047.5493,21,2,8.6357
